speaker,text
CL207,My skin is in amazing conditions
CL207,Every girl would be jealous
CL207,And then I guess I also have like a bunch of like
CL207,like somewhat philanthropic thoughts
CL207,"I know this word is like giga curse now because of saying bank man, but like there's like a bunch of like, yeah"
CL207,there's a bunch of like content creators
CL207,"Like I really, really like respect just because like you can clearly tell like, Oh, this guy or this girl, like they are completely not selling out"
CL207,"They are, they're like, say producing content purely like the amount of passion they have for say a video game where like"
CL207,whatever they're doing is like so great that that they just do that and that they have no view about like like no sense about like be doing business or like like how this doing this or that can make me more money so like if I can like support more of these people like it makes me really fulfilled I guess
CL207,yeah um just because like I guess I do follow a bunch of these people and like they I just think they're very cool um I'm very big into like
CL207,"expression, virtual expression, or just like expression in real life, I dress well"
CL207,"But yeah, just like stuff like that, I really respect like people who do that online too"
CL207,"so yeah, stuff like that"
CL207,"If I can support more people, that's like very awesome"
CL207,"But yeah, I think living in hotels is like an amazing door and like me"
CL207,"As I said, I'm someone who lives in a fantasy"
CL207,I just want to do this forever
CL207,"I want to stay young forever, which is why I have all these routines"
CL207,"Although I've done a few lines of Coke before, I don't think that's really bad for your aging"
CL207,A few lines before
CL207,It's all delta neutral
CL207,I had a lot of broccoli hours before
CL207,take other stuff for preventing higher blood pressure if I do stuff like this
CL207,"Yeah, definitely hedged"
CL207,I do care a lot about this kind of stuff
CL207,But I also value a lot about having fun with my friends
CL207,Emotions is another thing
CL207,"I'm a big maxi-elf, yeah"
CL207,"Sorry, you go"
Jamo,"Oh no, I was going to ask you, if you're going to have steak and broccoli, do you eat the broccoli first also"
CL207,"Yeah, I literally eat the entire plate of broccoli"
CL207,Like it's like a massive plate
CL207,I will literally finish it before starting the steak
CL207,"It's like, it's pretty easy to me because I guess I made it a habit and just like, you know, I'm a trader"
CL207,I have the discipline to do that
Jamo,"I'm going to, I'm going to try this tonight"
Andreas,"Are there any like, um, health influencers that you respect or that you follow"
CL207,"Oh, I, okay, this might be like disrespectful, but I do not respect any other trader"
CL207,I do not respect any like whatever influence
CL207,"So just cause like, I'm going to just like absorb the information and like a lot of readings"
CL207,"I love doing readings and then just like, or trading"
CL207,"Like I always have my own view, my own system"
CL207,"Um, whenever I listen to others, like it worsens my, it actually makes it worse for me"
CL207,So just like
CL207,"Like I know if you eat five weeks before a real meal, you will have like"
CL207,a slower glucose spike
CL207,"This is like proven countless times, right"
CL207,"Like just stuff like that is like, basically are facts, uh, proven nonstop"
CL207,Like I will do them
CL207,"Um, so I don't have a lot of influence"
Andreas,"So, so like the stuff you're looking at is like more on the lines of like peer reviewed studies and stuff like that, rather than like, you know, other people telling you what's good and what's not good"
CL207,"Yeah, the scientific term of like these, uh, like the, the impact of a meal is called like postprandial spike"
CL207,"You know, the first time we read it, like Google, like 18 words out of 30 words in the first paragraph"
CL207,"But you know, it's honestly not that crazy"
CL207,"You open a paper, yeah, first minute you have to Google half the shit, but then you understand everything and then you keep going, right"
CL207,"It's like, it's honestly not as scary as people think"
Andreas,"I used to like years and years ago, I was like a biochemistry major and I worked for a few years at like a pharmaceutical company, like doing research"
Andreas,So I read through like quite a few of those like back in the day and a lot of them were like very
Andreas,"tedious to get through, to say the least"
Andreas,"But it's sort of like, I feel like that art of, you know, reading through the research yourself rather than just like, I mean, kids these days, I feel like they get their scientific information from like TikTok or like, you know, their source of information is within these like"
Andreas,"10 to 15 second clips of like other people telling them what's correct and what's incorrect without like any like reasonable like validation or, you know, like with peer reviews, stuff like that"
Andreas,"And I don't know, maybe it's such me"
Andreas,but maybe it's like a sign of
Andreas,declining society and where we're going
Andreas,Do you have any thoughts on that
Andreas,I feel like it's not great
CL207,I absolutely have thoughts on it
CL207,"My biggest two beliefs about education is one, we need to teach about online fraud because"
CL207,The economy is already going so virtual
CL207,We have Amazon now
CL207,We didn't have it 15 years ago
CL207,We have eBay
CL207,All these things are popping off
CL207,So much skin trading and obviously crypto
CL207,"And then people are getting all these emails that are like, oh, you're a student"
CL207,"And then I don't know, some school should get hacked so easily"
CL207,And then you get a fraudulent mail about your school deposit
Andreas,they need to learn that
Andreas,and then another thing is the scammers the scammers are getting like really sophisticated these days like a lot of the scams i see that you know are executed
Andreas,they're they're well thought out like very well planned to like even for me looking at them like saying like wow this is like pretty impressive what they're doing
CL207,"Yeah, you already got rubbed on FTX and then a fake claims email come out, you got rubbed again"
CL207,"And it's just not crypto, exactly"
CL207,"It's like so much everywhere, right"
CL207,And then another big belief I have is everyone needs to learn about research methods
CL207,"So this course in college teaches you how to research information for yourself, right"
CL207,But it's just like this general idea of trying to obtain correct
CL207,like information for yourself is just so important like
CL207,yeah i feel like many people don't really get to learn that or
CL207,like yeah they just don't right so it's like these two topics are like very critical in modern day that i think like no school teaches about it
CL207,it's just like or it's not like a critical course
CL207,but like it's like it has to be like a foundational course in my opinion yeah
Andreas,"Well, one other thing I'd add to that is I think just like general financial literacy is not taught in schools"
Andreas,"And like, I feel like that's absolutely ridiculous, just being able to, you know, like manage your money, which is like, might be the most important thing you learn when you're younger"
Andreas,"I mean, like in schools these days, they're cheating stuff about like"
Andreas,world history and like geology
Andreas,and you know just like stuff that you really don't need to know in life even like a lot of like the mathematics that you learn in um in like let's say like middle school or or like advanced high school like i can't think of like the the last time i really use you know stuff like trigonometry or like calculus or like differential equations
Andreas,i've seen an octagon in real life in like eight years
Andreas,"So like, yeah, I feel like the education system should, you know, be focused towards like the actual useful information that, you know"
Andreas,like adults need to to have to you know like live their life and like one of the basis is that is like if you have money what to do it that how to protect it how to invest it how to like figure out risk and stuff like that like if you're
Andreas,"There's a huge difference of people, whether their risk appetite is investing in index funds with the money they make in the year for a 2% to 5% yearly gain or degenerates like us that are willing to gamble with large amounts of leverage"
Andreas,"More than everything, yeah"
CL207,"Yeah, way more"
CL207,Way more than everything
Andreas,"Exactly, but just a fundamental understanding of both those sides and an ability to look at your own finances, look at the money that you have, look at the opportunities you have with your money, and make an educated guess or certain allocations of"
Andreas,"I'll put X amount in like these risky assets, but I'll have like Y amount and like a more stable asset and that should set me up nicely for the future"
Andreas,I feel like that stuff like that isn't taught at all
Andreas,"And like, even for me, like I sort of had just to learn that on the go, just like trial and error"
Andreas,"Like I definitely, when I first got into crypto, I definitely"
Andreas,lost a bunch of money doing stupid shit that I probably shouldn't have done
Andreas,"But in retrospect, it's just a learning experience"
Andreas,You look back and you learn from the experience and then try to adjust in the future not to do it
CL207,"I had no like, like when I finished school, like I didn't apply to a job, like not sure why"
CL207,"And then all my friends are like, yeah"
CL207,I'm going to this
CL207,"Oh, I got an internship to begin with, uh, but it's Intel and or like some shit"
CL207,"And I'm like, Oh, cool"
CL207,"I, I have nothing to say"
CL207,And then just traded this Ponzi and like had to learn to go
CL207,Never took a single finance course
CL207,"Like, yeah, definitely"
CL207,I had to
Andreas,"Yeah, but before I got into like, I was mainly just started trading like the"
Andreas,"was like the XBT perpetual, the Bitcoin perpetual on Baymax"
Andreas,"Before that, I did not take a single course on finance"
Andreas,"I didn't know a lot of the terms that people were using, stuff like that"
Andreas,I was basically just clicking buttons
Andreas,"I think number go up, I long, I think number go down, I short"
Andreas,Very elementary stuff
Andreas,"But at the time, it was"
Andreas,"It worked, I guess"
Andreas,It is what it is
Andreas,"But a lot of the stuff, you're not really taught"
Andreas,You just pick up with experience
Andreas,I talk with a lot of traditional finance people that get into trading crypto
Andreas,"They're successful trading normal markets, and then they get into crypto"
Andreas,A lot of the concepts
Andreas,"don't transfer over, like some concepts do transfer over, but a lot of the concepts don't transfer over that well, just like the volatility, the fact that like the markets are 24 hours, the fact that like liquidity is like fragmented versus like everything on like a centralized limit order book and stuff like that"
Jamo,The obscene counterparty risk
Andreas,"Yeah, the technical hurdles for like, you know, like something, especially if you want to like a lot of the, a lot of the per volume is moving to decentralized exchanges on like layer two, just to get to figure out the tech hurdles for generally self custody, but like, you know, bridging assets over there, stuff like that"
CL207,"And then one day you're treating the, you know, the most popular product, the PTC USDT, and then tethered depex, three pegs, three bibs"
CL207,"And then you're, yeah"
CL207,And then you're scared
CL207,There's a lot of shit going on
Andreas,"Yeah, you're panicked selling your tether thinking it's going to go to zero"
Andreas,"I'm on the other side of the trade of buying that tether at like 90, 95 cents"
Andreas,"We actually, didn't we do a podcast episode on that one"
Andreas,"It wasn't tether, it was USDC"
Andreas,I ran the numbers and I just told everyone to just buy up the idiots dumping their USDC because they think like
Andreas,"Was it like, so our Silicon Valley bank was insolvent"
CL207,I did actually panic sell
CL207,"It was pretty bad, but I actually bought, I just bought spot instead"
CL207,"So I was just like, I'll put a few percent in versus it was kind of like, okay, I guess"
CL207,"Like, I don't know anything about signature banks"
CL207,"I'm just like, yeah, you know, I'm going to go and eat going fucking Ethereum bro"
CL207,Like fuck this shit
Andreas,"Yeah, I remember the day that happened and I was like digging through like the the circle documents, figuring out like how much money they actually had in like these banks and"
Andreas,"like exactly what impact like they, the, if, if the, the bank didn't return any of their money and yeah, to me, the situation was like super ridiculous because like, I think I read the numbers and like high valued, uh, USDC at like, I'll say like 97 cents"
Andreas,"If, if the, the bank literally returned like zero, no money on, on their balance and like"
Andreas,Circle didn't dig into their profits or dig into their treasury to cover the hole
Andreas,So that was worst case scenario
Andreas,"And then I don't think historically speaking, when banks go insolvent, it's not like FTX"
Andreas,It's not like when a crypto exchange goes insolvent or something
Andreas,Banks go insolvent when they're probably
Andreas,2% to 5% off what they're holding should be and they can't pay out or something like that
Andreas,and then they experience a bank run
Andreas,"If you have a bank that goes insolvent, it's never going to be like you're losing 50% of your deposits unless it's some Venezuelan"
Andreas,to see to your bank that you're depositing funds in
CL207,Learn something new today
CL207,"If my bank's insolvent, I lose 3% confirmed by the real estate GCR"
Andreas,You actually don't lose anything if you have an American bank because FDIC insurance covers a majority of it
Andreas,It's very very hard to lose money like in a bank account
Andreas,"That's that's the one thing that traditional finance has going for it is it's very easy to lose crypto like everywhere like But if you just put your money in a bank account like it doesn't really matter which bank it's it's it's mostly safe and if it's not safe, it's like"
Andreas,not safe by like a few basis points
Andreas,"It's not, it's not, not, not safe by like 50 or a hundred percent of your balance"
CL207,"Oh, also as a, as, as real estate GCR, I was going to ask about like, how is this right"
CL207,"Um, yeah, like for like me, like mid tier homes, right"
CL207,"Like, cause I'm not like elite, like hyper both whatever, like if I buy like, uh, is it, am I buying the top right now"
CL207,"But like the shit only goes up, right"
CL207,Like I'm staying in hotels as like a funding way to like shore housing and it's not working out for me at all
Andreas,"I think my advice to you would be, if anyone's watching this, this is definitely not financial advice"
Andreas,"People that invest in real estate as an investment rather than just wanting to have the real estate, it doesn't necessarily work out and it's probably not an effective use of their capital"
Andreas,"So if I were you and looking at buying a place, I wouldn't care about the market cycles at all"
Andreas,"Because if you're like a crypto, the fluctuations of the real estate price from a market price, you purchase that and then what you can sell it at within five or 10 years"
Andreas,isn't going to be nearly as impactful as your daily swings of just trading or holding your crypto
Andreas,The volatility isn't necessarily there
Andreas,And then there's quite a few costs and quite a few
Andreas,like annoyances with owning real estate
Andreas,"So it like, I think the advice is like, if you're looking at it as an investment, or if you're concerned, if the price goes up, or if you're buying the top, then just don't buy like it's, it's not worth it"
Andreas,"But if there's like a place that you would utilize effectively that you like, like, just buy it and keep it and be indifferent about the price, because the price fluctuation is going to, it's"
Andreas,"In the worst case scenario, it's not going to trade close to half the shitcoins you're trading on a day-to-day basis"
CL207,But I don't know
CL207,Maybe it's just a trader mindset
CL207,I just don't want to buy the top
CL207,"Yeah, that's fair"
Andreas,"Yeah, I honestly don't know"
Andreas,It depends on a lot of factors
Andreas,"I think that's a very, very small concern on your overall list of concerns"
Andreas,If you have a checklist going into this as to deciding whether you buy or whether you don't buy
Andreas,"The housing market cycle should be very, very low on the list of what you're looking at"
Jamo,And it's way more comfortable to run TRIP on your house than on your crypto holdings
Andreas,"I think that the main thing is just like, again, it's like an asset that you're using for personal utility, right"
Andreas,So it's far more important
Andreas,"that you think the purchase is good, relatively speaking, to your needs rather than the inherent fiat value of the asset five or 10 years from now"
Andreas,That is pretty secondary
CL207,I should just look at it like fashion then
CL207,"Like, oh, I bought this nice piece of jacket"
CL207,"Oh, wait, the secondary market went down like $200"
Andreas,"Or like, I'm like, I guess like watches or women's handbags or whatever"
Andreas,"It's, it's the, the, the, there are people that like are actually actively like trading those markets that are, you know, in it, in it for profit"
Andreas,"Um, but if, if you're like inexperienced and you want to get in, you just like one, like a nice watch or a nice bag, just like, I think the number one advice is just like, figure out like what works for you and what, uh, what, what you want rather than, you know, like the"
Andreas,the retention of value or the actual stage in the market you're in
CL207,Our advice has been obtained
CL207,for from real estate GCR
CL207,"Yeah, real estate GCR"
Andreas,"So before we let you go today, I feel like we should talk a little bit more about crypto"
Andreas,So like one final topic
Andreas,Do you have a general outlook on crypto as a whole
Andreas,I guess in the next like end of year to maybe one year
Andreas,Like I know that that there's a lot of
Andreas,"You know, prevailing narratives happening like the what's going on with the Bitcoin ETF, are there going to be inflows, maybe outflows, the US presidential election, potentially either Solana ETFs, the the Gox coins, like there's a lot of stuff that's either like"
Andreas,supply overhang or that needs to be sold or there's huge potential inflows and stuff like that
Andreas,Do you have a general view as to what you think will happen
CL207,"So this is, I think one of my most, my biggest weakness is like this kind of views because like I've always treated on like day to day, week to week and most short-term stuff"
CL207,Maybe I'm most like one or two months
CL207,"Like I don't think I've ever had a trade where I'm like, yeah, like Q4 is going to pop like, and we're in Q2 right now"
CL207,Like that just never happened
CL207,"Overall, I do tend to think that people are over-exaggerating the top signals"
CL207,"Because if you go relatively cycle by cycle, DeFi summer was absolutely crazy, even for people who went through 2017"
CL207,"And they were like, yo, this is crazy"
CL207,"And then when the first DeFi pullback, everyone was shorting"
CL207,"So relatively, I think we're kind of similar in that celebs are popping in and that's to me just about as crazy as 2021, if not even a bit less just because we don't have that stimmy checks, we don't have that kind of stuff"
CL207,"Um, and I think my views are really weak by the way, just cause like, I'm an absolute retard when it comes to like, just kind of like macro view"
CL207,Cause I know nothing about macro
CL207,I didn't even know Trump's was favored until like GCR set in
CL207,"And I'm like, yeah"
CL207,I have to trust like politics GCR or like literally him side
CL207,"Like he is literally the go of politics, right"
CL207,"So I'm like, he's like, yeah"
CL207,"I'm like, okay"
CL207,Trump won guys
CL207,"Like, yeah, like, I don't know anything about like"
CL207,and he's going to somehow pump the markets
CL207,I heard like apparently it's super bullish and he's like confirmed at this point
CL207,Basically they could even assassinate him
CL207,"He, my bro, my bro literally turned his head and it's like just nailed it"
CL207,"Like, like it's so crazy"
CL207,"Like, so I got"
CL207,I don't have too much
CL207,"I think I heard like a third of the Gox points are bought out and then like some, something like that"
CL207,"And then it's like, yeah"
CL207,"but I don't know if they're going to sell, right"
CL207,They're definitely in for a profit too
CL207,"So like, yeah"
CL207,"Yeah, like the last few weeks were definitely a bit more like shorter and like less allocated"
CL207,And then this week inflows were really strong so far
CL207,"So that's been really promising at least like, like for the first time we have like a 30% like pullback where like, you know, TradFi"
CL207,"bros are like, yeah"
CL207,"we're bidding like 200 mil inflow, 300 mil inflow"
CL207,So that's like
CL207,"impressive, I guess"
CL207,"Cause like at some point, I think people were talking about like, Oh, if we have a 30% pullback, the ETF is going to start panic sailing or something"
CL207,And we didn't really see too much of that
CL207,So that's pretty strong to me
CL207,"But I'm always like, like on crypto, I'm always like softly perma bullish, I guess"
CL207,"I definitely am like, definitely do call cycle tops like last cycle"
CL207,I kind of did
CL207,definitely do get bearish
CL207,"But yeah, I think we're still like somewhat pre definitely"
Andreas,"I recently had like a kind of bearish ever since we hit like, like over 70k Bitcoin and like a lot of the events may be like a bit bearish and then"
Andreas,"Like I would post about it like when Bitcoin is trading at like, say it's like 68K"
Andreas,"And then you would just have people like, I don't really have that big of a following on Twitter"
Andreas,Just like mostly people I know and stuff like that
Andreas,"But then like I do have, you know, just like randoms, like calling me an idiot and saying like, look at this bottom signal"
Andreas,"Like, look at this loser"
Jamo,"It's so rough, man"
Jamo,"You got a small following, but they're very quick to insult you"
Andreas,"Yeah, they're really quick to insult me"
Andreas,But then there was a pullback
Andreas,Bitcoin went down to 55k and I just went back one day and just tweeted everyone that said I was about to check in on them
CL207,"The QRTs goes hard, yeah"
Andreas,"Half of them blocked me, I noticed"
Andreas,This was pretty funny
Andreas,One final question
Andreas,"If you were to describe yourself, what GCR would you be"
CL207,"Maybe, I don't know, lifestyle GCR"
CL207,"Yeah, because I think I just live my own fantasy, my own world"
CL207,I absolutely do not care about anyone's opinion on what I'm doing
CL207,"I'm dirty in my bubble, very moisturized and like in a hotel right now as we speak"
CL207,"Yeah, actually first time at, I'm at right now, first time staying"
CL207,Probably a decent review at the end of the stay
CL207,"Yeah, I still haven't explored even all the hotels because I'm pretty like autistic in the way"
CL207,I need to do the same thing
CL207,"So if I go to a new hotel, where do I go to get coffee and breakfast again"
CL207,Do I have to go here now
CL207,"like a, I don't know, habit break"
CL207,So I was like staying at like some other hotel for like months
CL207,"Whenever I go, I was there"
Andreas,"Is there like a, is there like a favorite hotel or like a hotel chain that you favor or that you, that you would stay above all else"
Andreas,"I'm curious because, cause I also, I also am a bit of a hotel kind of store"
CL207,"Uh, so, uh, I've not stayed at too much, like chain hotels, honestly"
CL207,"I've always preferred medium, smaller brands"
CL207,"Um, I guess I was impressed by like Pendry service when I was like checking in"
CL207,"It's just like, I had three massive chat dudes, like protecting me, opening the door and carrying my luggage up"
CL207,"I was like, wow, you know, even four seasons didn't do this"
CL207,This is crazy
CL207,"Uh, I don't know if you've heard of Pendry, but they don't, they only have like, I don't know, like five branch or something"
CL207,"Yeah, honestly, nothing too notable"
CL207,Like Marriott stole my unisex socks because I just have a package there
CL207,"Physical one, it was worth 80 grand when it was thrown away by them"
CL207,"Yeah, I just literally had it on my desk"
CL207,It literally just looked like a cardboard box that's empty because it weighs so little
CL207,They literally thought it was trash and threw it away
CL207,"I'm like, dude, we need to go to the trash truck right now to get it back"
CL207,It's a highly valuable personal item
CL207,"And they're like, oh, it's gone, bro"
CL207,I don't know what you're talking about
CL207,They don't remember what they threw away
CL207,"I'm like, all right, I'm never coming back"
Andreas,I'm a pretty big almond maximalist
Andreas,I like all the almond properties a lot
Andreas,"I don't know if you stay in any of them, but they're really, really nice"
Andreas,There's only like two or three that I disliked and I've been to quite a few of them
CL207,I've only been to one in New York and I didn't even stay there
CL207,I just went there for
CL207,"I went to the bar and then I went to the restaurant in it and then, cause my friend was staying there and he showed me around and I was like, yeah, that's very impressive"
CL207,I'm not paying like five grand a day
CL207,Like I'm not like hyper wealth
Andreas,They are like very overpriced
CL207,"But yeah, especially for me, like I'm not hyper wealth"
CL207,and I do this every day
CL207,"Like I literally cannot do a five, 10 grand, like that kind of stuff every day for years"
CL207,"So it's just like, yeah"
Andreas,and then the next full market and the next full market
Andreas,numbers were just going up
Andreas,He was trading and making whatever amount a day
Andreas,I think he had a small apartment and he just moved
Andreas,"It was during COVID, so the hotels were pretty empty"
Andreas,Then he just moved to a five-star hotel and just lived there for six months
Andreas,"He would walk back to his condo and do laundry every week, but then just go back to the hotel and stuff like that"
CL207,"Yeah, sounds like my dream, yeah"
CL207,"Except I just give them my laundry and they overcharge me by like $200, yeah"
Andreas,"He was, he was actually telling me that they would like send them an invoice and he would have his billing address on it and they would look at it as billing address"
Andreas,"And they were like, it was next door"
Andreas,Like you live next door to this place and you're just been here for like six months
Jamo,Every condo was a rich Carlton in Tokyo
Andreas,It was the rich Carlton in Tokyo
CL207,"Wait, how much was it in COVID like worth $250 a night"
Andreas,He told me he paid like around $500 a night for six months straight
CL207,"Even during COVID, it was $500"
Andreas,"I mean, it's like $1,000 or $2,000 a night, I think there"
Jamo,He was on the FTX leaderboard
Jamo,He was fine then
Andreas,I think he's like no longer fine now
Andreas,The FDX leader board doesn't have as much value as it used to
CL207,"I'm just doing like around between five, maybe like three to one K, 300 to one K that varies a lot"
Andreas,That's pretty reasonable
CL207,"Yeah, for sure"
Andreas,I think that's all the topics
Andreas,"I had a few, but we've already gone like"
Andreas,quite some time
Andreas,"Andreas, is there anything you wanted to add or"
Jamo,"No, I think the lifestyle GFCR is pretty tough to top"
Andreas,"Kat, do you have any other topics you want to cover before we go today"
CL207,"Yeah, I'll bring it up in the next pod"
CL207,"Oh, that means we're in part two"
Andreas,We'll be more prepared for that one
Andreas,Today we just sort of
Andreas,Like we just came in and started chatting about like whatever we wanted to talk about basically
Andreas,"All right, I think that's all we have for today"
Andreas,I appreciate you coming on and we'll see you next time
Andreas,"Yeah, thank you"
CL207,"Yeah, thank you guys"
